Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
Instituto Tecnologico Autónomo de México (ITAM) (Current number of students: 0),Instituto Tecnologico Autónomo de México (ITAM),"Río Hondo 1, Altavista, 01080 Ciudad de México, CDMX, Mexico",19.3450908,-99.2001039,"Río Hondo 1, Altavista, 01080 Ciudad de México, CDMX, Mexico",Match,Google
TEC de Monterrey Campus Estado de México (Current number of students: 0),TEC de Monterrey Campus Estado de México,"Av Lago de Guadalupe KM 3.5, Margarita Maza de Juárez, 52926 Cd López Mateos, Méx., Mexico",19.5949154,-99.2276742,"Av Lago de Guadalupe KM 3.5, Margarita Maza de Juárez, 52926 Cd López Mateos, Méx., Mexico",Match,Google
TEC de Monterrey Campus Guadalajara (Current number of students: 0),TEC de Monterrey Campus Guadalajara,"Avenida General Ramón Corona 2514 Nuevo México, 45138 Zapopan, Jal., Mexico",20.7345732,-103.455512,"Avenida General Ramón Corona 2514, Centro, 45136 Zapopan, Jal., Mexico",Match,Google
"TEC de Monterrey, Campus Monterrey (Current number of students: 3)","TEC de Monterrey, Campus Monterrey","Av. Eugenio Garza Sada 2501 Sur, Tecnológico, 64849 Monterrey, N.L., Mexico",25.6515415,-100.2911811,"Av. Eugenio Garza Sada 2501, Tecnológico, 64849 Monterrey, N.L., Mexico",Match,Google
Universidad Anáhuac Mayab (Current number of students: 0),Universidad Anáhuac Mayab,"Carretera Mérida-Progreso Km 15.5 interior Km 2 Carretera a Chablekal, Cordemex, 97310 Mérida, Yuc., Mexico",21.1108337,-89.6118723,"Carretera Mérida-Progreso Km 15.5 interior Km 2 Carretera a Chablekal, Cordemex, 97310 Mérida, Yuc., Mexico",Match,Google
"Universidad Iberoamericana, Santa Fé Ciudad de México (Current number of students: 4)","Universidad Iberoamericana, Santa Fé Ciudad de México","Prolongacion Paseo de la Reforma 880, Lomas de Santa Fe, Zedec Sta Fé, 01219 Ciudad de México, CDMX, Mexico",19.3589393,-99.2733272,"Prolongacion Paseo de la Reforma 880, Santa Fe, Contadero, 01219 Ciudad de México, CDMX, Mexico",Match,Google
Oslo Metropolitan University (OsloMet) (Current number of students: 0),Oslo Metropolitan University (OsloMet),"Clara Holsts hus, Pilestredet 46, 0167 Oslo, Norway",59.9210891,10.7333919,"Clara Holsts hus, Pilestredet 46, 0167 Oslo, Norway",Match,Google
"Universidad San Ignacio de Loyola (ISG), Lima (USIL) (Current number of students: 0)","Universidad San Ignacio de Loyola (ISG), Lima (USIL)","Av. la Fontana 550, La Molina 00012, Peru",-12.072888,-76.9516609,"Av. la Fontana 550, La Molina 00012, Peru",Match,Google
Jagiellonian University (Current number of students: 0),Jagiellonian University,"Gołębia 24, 31-007 Kraków, Poland",50.0610645,19.9328982,"Gołębia 24, 31-007 Kraków, Poland",Match,Google
"Kozminski University, Warsaw (Current number of students: 0)","Kozminski University, Warsaw","Jagiellońska 57, 03-301 Warszawa, Poland",52.2712979,21.015148,"Jagiellońska 57, 00-401 Warszawa, Poland",Match,Google
Universidade Católica Portuguesa (Current number of students: 0),Universidade Católica Portuguesa,"R. de Diogo Botelho 1327, 4169-005 Porto, Portugal",41.1517376,-8.6679328,"R. de Diogo Botelho 1327, 4150-513 Porto, Portugal",Match,Google
"Universitatea Babes Bolyai, Cluj-Napoca (Current number of students: 0)","Universitatea Babes Bolyai, Cluj-Napoca","Strada Universității 7-9, Cluj-Napoca 400084, Romania",46.767306,23.590735,"Strada Universității 7, Cluj-Napoca 400000, Romania",Match,Google
University of Bucharest (Current number of students: 0),University of Bucharest,"Bulevardul Regina Elisabeta 4-12, București 030018, Romania",44.435348,26.10134,"Bulevardul Regina Elisabeta 4, București 030167, Romania",Match,Google
"Plekhanov Russian University of Economics, Moscow (Current number of students: 0)","Plekhanov Russian University of Economics, Moscow","Stremyannyy Pereulok, 36, Moskva, Russia, 115093",55.727054,37.6271141,"Stremyannyy Pereulok, 36, Moskva, Russia, 115093",Match,Google
Nanyang Technological University (Nanyang Business School) (Current number of students: 0),Nanyang Technological University (Nanyang Business School),"50 Nanyang Ave, block s3, Singapore 639798",1.3442459,103.6803242,"50 Nanyang Ave, block s3, Singapore 639798",Match,Google
